Month,TotalPrice
2023-01,56685.75
2023-02,40117.659999999996
2023-03,48609.37
2023-04,27751.71
2023-05,63836.84
2023-06,49500.19
2023-07,42820.659999999996
2023-08,54352.14
2023-09,29526.670000000002
2023-10,52607.85
2023-11,43079.67
2023-12,43754.73
2024-01,38528.08
2024-02,36909.57
2024-03,36030.9
2024-04,49613.14
2024-05,27909.11
2024-06,68068.54000000001
2024-07,42963.98
2024-08,31991.07
2024-09,39794.98
2024-10,37226.97
2024-11,32413.76
2024-12,38785.770000000004
2025-01,29099.4
2025-02,35317.55
2025-03,39200.66
2025-04,31821.2
2025-05,43396.64
2025-06,53047.4
